Sample Antivirus Program Log.
Created On: 08/12/2018

Directory: E:\Xcluded\Samples
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\471f0c060bad462aa322de50645bd481
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\36904882fac14dafa35e0dac36abfba5
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\cf241707c8e540d9b781a73b78c54ba9
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\a92527cb58b840199c6080363bbac17a
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\6a179efeff2446f89c2a41817690f590
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\b619030c70af4d47a95d0dbe0a30f6a7
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\ff41baa28811433bac6b7d67f430c627
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\3a5d169007584aed962a8db3cac4e489
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\096d1be325104398819e339ffaf02f26
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\876e8a91c37a4f5fb702caf75c372e1d
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\15d66cfe11cd426d896428bc6469df11
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\c524900730c94cb4a63d3eb5fec7225a
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\b815f445a6f243398873faf9521d6afb
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\4f367848a25142c1adfb75dd87a62b14
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\99aeef199d4446ac9d09abd9fe78a273
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\5f6a4f87c225458986ff1afc9903e702
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\5ce88c2d3531428e9a15d2939628ec2e
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\7f9a351605744a8191df55914aa4353d
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\e790bd02951146c69354fedb65c9faa8
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\0209eafc4e63457f8734bdb93ce99ea2
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\9cc60db9af294d54baefd1be8da0ea42
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\1e3469f977ef410492d5094530eaa541
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\2ce8209c67fb4e82b46405ad275312e3
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\00bee1e1d2fa4d9b82a8247997bd3eb7
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\9bf84f5d90db462a8be47ac7dcfd40e9
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\98e9a66449644b2d9b31a03dbd5186a7
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\7f284ed1a9c048d98a608d367a184562
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\a0da21411c6c482493bfd950a66cd213
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\72141b1130f940b2a7f9139d00353003
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\f36ff61c67b6478bb651999985bf166b
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\974baa501e9f4a87affbbdcfbb15d6e1
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\9730119b915b4b889102aee6bb846f9b
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\cebdf4d9c57a4587939162c1f8cb3c2a
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\3f307c2f080944f8b4bc0345d5fb3ed9
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\61f92688470a43f1bdcdb546a9dc304a
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\aa8565b7030240148db9e1119d25a736
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\6763d9a0ac7240849e1b6e653d63927b
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\d5b73833b114424780f705892ef750d4
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\04fbc4c05e9f48749b55a73e3fa852f7
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\75e40bbb0f354b729d043a8b097929f6
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\6897cec8e39d47c59c5ac9d64210b7c3
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\a8b43758697a4694a486333ea7e36bbe
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\6e3bc02acf0d4f38b461ab70b0418df8
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\809a18719b9644b482bae1bbfae60677
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\d71241d6dfe74f4f950a65990b249538
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\c10f26488e3a4b6785a95e82f2f4102a
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\ba29d87079da469697d5f693f98ff149
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\668c2086e2f849f792bbc88931631a8b
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\29a49b147f0b4ea5b0108f920dd7fc20
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\be530cb4a54b4ceb821ff66f33560c25
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\05933f8893ae4fa3834dda7170d4c30e
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\5cfa6f3e9b0d49a0a69cd9b29c7d1b17
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\17dd3293105a461fb520f80d307229eb
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\2f8ab3af8ab244dd8c59214ba26840a2
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\e49e63e208cb4c4d8a7305249a8bf22b
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\a7027a0fcdd34181a412d2b72c3cf43e
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\d0fea598d13d45fd8347118cb40d5b0e
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\fc090f8a31524750bbcb013f624c5721
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\cfd3b030868a40ff9c0172eb1154e46a
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\06e33b2f666a4d29af39d885bb1e8625
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\d3ec89a99c3c4cd1b250a0ea96642c8a
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\868f4bad3924405db885e56e94227c59
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\804e9fe6653242b9a58c2d10b8240b3c
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\bfeab8d16cee4ea186af5b6e0ff27210
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\ccbf5e006971447f9fad33b8947c6325
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\d3d8331c27af4f3fa686afb9c656fce5
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\08e8c12c4db1432ab7c15905001b23c2
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\b0e85d18c2f54396b13dd60209392e0b
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\20e607dccb3546c8b44ec496984e530e
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\5bc64850fb2c4cf18e574cf9a3362158
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\90fe1faf71b34ad2b0606c45db6298f0
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\a9207d739ddc475d8ed16d0f78cf2c89
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\19dcb7300358433983a3dec46f2ac01f
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\c35fbfff5bb84c398bafb3983a8c22d0
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\6b7e830c1be743ba84c81101bc9a0a9b
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\2e1caef5dc7943e09b0a61babfac5697
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\cb1411fa4066429b82e8914547709e2d
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\566ff9a0bad4403f9ce5efcec418c061
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\d2c88a745166413d9b10022bb67702be
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\723327b5dfb54cda9b4a5c3746e21ea0
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\26f0d083925b47bc92b6439e21236711
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\4efcf433ecb14b738b1865f76f31db91
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\801ebac20e5b46ceae66c56d4bb46a70
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\64af3f3e092f4f9c8e6a7871fdc99d67
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\01abe91bc73b47f3b60cade805eca2d3
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\2b2b620443ff4e5ba526bf6c6839b1b5
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\daee30504b9f4a4eb72480e1f88ac41c
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\9eb3564c86854f7fb5689eb7086c7f1e
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\91bf9c6584144f44b740cc4626223abc
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\edaaa360fa844c9389ad813406623d50
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\0e7517045f2842d68c3beb0bfa9b5248
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\54c2cce29c404e7495cd6b665969e936
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\758242796453402a9bb4f81c74b2c0ad
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\c8749b8724aa435f98565f7fb2b5dd9f
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\d17b9e8a85eb4a1dba4c8a45463161fd
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\ca7a253fa9144dd3b4007d7c28464e52
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\189cf43598aa4fef94a6b705f5d87ce1
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\d5aaf3c8e3354cd4b94dd67ae2c629cc
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\e2cc9716798c4112b1ba73addd1424f1
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\363681c0989240c98be759eaf7d46dfa
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\d4425d877c474399b8e6f494c5dc8198
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\8b9d8486f9e441af919a869043bf53ec
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\46951559e639474284e3419acd580ae9
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\b87bd8375bf44172b931d3b1d5a1bbfa
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\d4a2d9734ec34fa2ae3ca3a107fabfe0
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\936eaaa360a94fcb88b5db752b4085a0
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\0763c7e365604dc0a25e82d60a1529c5
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\39cd3348c88b4e69bdc4169159d6c46d
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\545f1f258e314e629ddda596dd23df4f
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\315a3291718c4a8a887c7549209d6246
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\d13088505f8747928bcdd58066bfc88f
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\9a7b627049d54a73825cb96df71e89be
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\3270ade56aba4d48b4c3463e30c37127
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\fd2d7ab1beae4010a8e565bc2d2be46a
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\460676082bc54958b5b205f2ab88ac3e
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\14077cf6e446490fbf86d71196f234de
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\9c8b51616d1142b2b07b9e0c6dcd3a74
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\1009217a92624b43a1f703bd623320dd
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\578fc9bb332a491fa7de3173a9eff205
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\3662387983dd495f8adc7611b0657f68
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\316368a5163948309ba879f053ab60db
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\b9ece9f657414ff998267d252ab49cac
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\480956123e444af49a2b7dbcc383cf29
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\94e77d0fb5664f07849192a52503b195
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\290eb4e33ca84359b0f5e3b08fc6a5f5
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\87ec9c53206f4c0cbe180eceb24b1f8e
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\fe4447bda36c448f8ba35d82a7dc3737
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\9142a9a046c6497d9402463a365bb90d
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\e6739e9056814528a415f7055a308f88
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\fd7ef2a5ca374227b4ae439ca9a0ac61
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\f51d749ad521462ebcdfcd1b9c542505
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\bd9a5e0eaaba4ec8988494b248652421
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\aa143ff455d2497e87a8380a4d50601c
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\1e8da75c1ac640f28b801c2cdc1551c2
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\a4066af60b3445a48017aa8701bf8aaf
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\b17f582c0f4740409e487108cc82cd04
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\cbfe68409eb648de9500b66d711aed4a
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\c8012d2855d34de4b9e3ea92af8032e2
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\cac45c3354f940bba2d580def446bf3d
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\b6538465304042469a2bf97f572a5a2f
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\db8d2235a06746f598e91ba6077f790f
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\5dae8fec0772487ebe15585248d28c8b
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\bd5ecc847d34411ea2870ffded6d3eb5
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\9241e5c0099340f29c187ca4ed0a4856
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\060083834027497bb40b64c1db1b861b
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\c5a3fa966136459caf98dcf69c9fb888
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\d438d17db2584973be4da8cbd3b82fd1
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\89e16458d9d14846a8ac3d72e0105741
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\bca511878a194058bf5d1d644408f164
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\85f3ac29a5764df29c9599eb3801db0e
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\e5df3b7aa5804db48999460cf8165895
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\de5efeffbb804a07b6158ab054a80458
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\01fb4bfad79c47858bcf1e4042d83f76
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\dbe0408b58bf4601a48f5d762306d765
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\b6c270a703624eb4928a00ea2266aeb0
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\a96edffd51fc4a44b27f000c9ab52f81
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\ac8e59a8ebe84f97828399f8e5113f5e
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\9b436a7e982d46e1ac285e06715e8d6a
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\561bf7cb72a94ac1893485e612aec0cf
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\61af32014fc0435cb78224596c3559dc
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\219de240a35f46d98bf9e57eb008b762
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\45a4e3b649024c18849f133506d4a96c
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\b522c34311024718b8a5d95c863013e4
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\e54dab05ba444fc2888c1714f32b9a7c
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\56620554809842b9a008d8b034e52d31
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\8e15197af3454a66930dd52b486c75bf
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\47ea15b7eefc443f90a4c60ed5165a59
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\e65f797dc24f41b4a6ec8dba2eb7f9d6
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\9508b3b2afd44d5c93c1ce4888639b4f
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\ba3a3e44e50f44d0a4c1cc003281e04f
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\ab0b99a104ab462885a24e59facb41b7
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\24a16a47099144df95e2997384dd986b
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\89065e739dd647c18d468939f68bfd5e
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\d9f77b35564c4bcb99eacbc4753d8d5b
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\3fbed3538e7b4e8e8e13182c2ef492bc
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\bf36549f841342b4a61acba48928da2e
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\fef463179566434e92a0f04713f765fc
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\403a0f4c4dea49d0a85e5b7705b260b3
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\119c18c054544bb7814c3723bb32b92e
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\361b4bfe0bfc4767a2dbe3471681c261
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\1a6ef54dc2114978b28f3d32198a92af
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\dbb987dd2d98429ba1185e74bb16895f
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\589d8c07b3814702981fde027c43c103
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\37a05e5e44e54a25a8b39b264e92b336
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\c2690a1099684c54851106c8fe85e694
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\304747d607024c71a946998afb26d2c3
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\d47f153d01d54ecba78547c2172ae689
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\9f13d50f1b4445d7a8a6ac6cf2401028
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\9ccf651f10a04f4da5ca000e2a55f820
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\8dbec748f38b4b9494c92f0a869e2657
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\7f218a8ab3a843818702103ae3f84614
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\369f0c6f813240d89a821c0b4d5445f4
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\33bbe4bc7f644b02a15c0657c8e9de8a
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\d0387f0f3bb64375ba9b0624fd8aa231
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\7e4df72208b0486aab222f275e5c8ac2
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\1d88332780a14c7eb5b6c0c4312168c9
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\b252c768243a4da186598e7ac13b0adf
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\09e59b65447c4272b4ff030abe38ac57
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\2f0e90b0895347ee80be7d6f113c5728
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\b8d0917a9a164f3b9e328c9b6a5f3c18
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\a41947e6b93144da9a47bdd4f9f32d2e
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\b168547d1252485e9582beccdeb75655
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\74673181ea924de8a4d6046c90463bcb
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\0c0324f7506142e4a91ecfaf11391f84
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\0b71c77b719b496c9e09c3af2a5c2d33
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\84a715525a894c878c804d956d8a1f35
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\a0ed04189d374ae093611d268f27c35a
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\2c366a1e90ce4edaba8951ed6ff4e041
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\24497ff7bd9b48aca750ba4935017418
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\6404b688438045c38c8516e5e6dff6d9
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\190752e3107e4727bd16ae687f3b68f3
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\e63c788288b2463dbbd552fc3e374455
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\58a0232609a841fa8d72d9cd40fd3917
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\298482b14f844d6e86e6d6f248dbd26e
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\da961195876a4e94b3be9d2c0c773eec
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\441d1500e80b438a99d2adc01001a3db
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\2a66eb4f827b4333b4ecc4f3d084a60b
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\eea11b7b60c649e9880f21a0054774e9
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\15e019bfd419401b9a41bbbb6892aa9e
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\5b6b3d6ad28e4188908c48c8dfe465fb
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\4f1cfe41e8dc47dbbd8e1845f0766278
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\49b7453f4f2943fa843876c2f3778ac8
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\87143718304846fcbf0d05a1ac9f2b04
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\ee5058101f0440c7976cf28e2066b980
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\ffdbcade5040410f8cf63c9c3235c8e2
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\e95be4d5203940b698ef4ddb4136191c
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\1e07beb92a5f40e6abba96e7f869934b
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\669e5b1dc4f740ef8250f46cb70d77ca
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\fffcda808d3c4569a80b23f6bedd24b6
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\1460429c56fc42c4b674fbcc91bf32a2
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\f927b93137f94bc0a0e1d6d972badec7
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\03cce8e4ec834620a7b6982877ffd507
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\c8a9bce85cf247ffac3abd94ae619556
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\936ff9d494c746378cff076abe252c51
Infected: Riskware.Win32.FunWeb.dbxkle

